All_India_Rank,NIRF_Ranking,Placement_Percentage,Median_Placement_Package,Distance_from_College,Government_Funded,Teachers_Qualification,College_Fee,Living_Facilities,Girls_Boys_Ratio_Percentage,Admission_Probability
776,17,34,108,723,0,7,5,4,26,59.23503285933622
943,2,33,149,1491,1,4,5,5,98,91.2363345616691
35,2,22,34,92,0,6,6,1,46,21.066218900566657
206,28,69,189,1178,0,9,9,1,98,62.296658356348274
81,22,16,132,1118,0,1,2,3,29,63.156022009252055
932,23,66,62,1111,1,5,5,8,4,73.3113022415281
562,5,45,160,466,1,7,3,2,81,13.15676851272598
872,1,54,153,1911,0,1,4,4,99,71.58249646820886
388,1,29,66,10,0,4,10,2,13,90.9032520665641
2,19,74,48,60,0,6,6,5,39,17.968310887024195
390,30,17,118,694,0,2,8,9,15,23.754332492387764
566,2,25,190,726,1,10,1,1,29,97.13950940416396
106,21,23,51,1805,1,5,10,5,29,18.097695270948975
772,12,85,195,1479,1,10,8,9,75,85.4385093369579
822,26,96,176,458,1,1,7,1,32,49.227785644803475
477,6,24,151,890,0,6,1,9,2,24.723107440317705
703,23,75,131,497,0,6,2,8,47,87.07499012725114
402,4,41,142,1833,0,4,3,4,78,44.53052550026655
730,23,96,172,43,1,8,1,10,84,51.48173539296902
556,11,72,84,1381,0,4,9,5,22,35.92333693997657
162,24,95,155,104,1,8,8,5,75,59.29508514349274
202,27,60,85,1105,1,8,2,6,27,16.352387258502276
958,17,34,18,1584,0,5,9,7,67,39.10815366517607
996,6,67,83,163,0,4,7,8,81,96.94123223352875
270,24,72,195,259,0,2,9,8,56,25.813343270112753
863,5,71,154,683,1,3,6,2,92,65.67366645412922
816,20,31,16,447,0,3,6,9,93,32.51900642246949
271,2,67,183,127,1,4,4,7,21,77.34731256866006
456,6,67,150,780,0,4,10,4,47,13.087366071834982
462,22,95,177,1924,1,10,10,4,80,96.98210450785447
727,11,58,179,1339,1,5,2,8,59,45.37895413836392
252,16,61,146,277,0,4,7,4,84,23.605046334646396
702,16,51,187,1994,1,10,5,6,6,7.349674733001265
296,1,79,36,1087,1,8,6,5,19,16.975790508754073
725,9,24,131,245,0,6,2,3,57,51.977394855601766
720,28,63,14,398,1,6,5,10,69,33.70031764312863
749,27,69,38,999,0,8,10,2,3,82.88833658826094
338,6,17,174,1767,1,7,4,9,1,43.08875236618059
879,16,62,175,772,0,10,9,10,58,24.871427258762992
53,29,69,92,1858,0,10,6,9,38,61.714498660403
792,3,14,145,410,1,8,2,1,15,70.67772168854458
922,20,77,118,633,1,2,1,10,34,16.704190790094987
217,28,15,74,776,1,9,5,3,61,16.761921628831765
764,27,56,95,1336,1,1,9,8,35,3.667142693354297
188,4,64,154,928,1,8,6,6,64,73.64020150656405
380,19,49,80,1240,0,4,10,5,25,66.38045276218051
493,26,61,54,1262,1,4,7,5,24,47.46308757498139
41,3,25,141,862,0,5,5,6,12,84.41704489691972
157,19,22,45,1943,0,8,10,7,18,80.56701529500532
15,20,39,79,587,1,5,6,1,15,58.535436439675216
813,7,28,168,84,0,8,5,9,80,86.82712805132586
65,20,26,28,444,0,10,9,3,27,20.584121003676824
857,9,72,198,112,0,1,6,4,72,11.191961939772789
839,1,28,117,1455,0,10,8,10,60,26.974961151698963
521,8,67,191,1737,1,9,2,1,46,5.708685608931486
344,7,64,176,773,0,6,9,10,89,53.1169528001032
129,18,99,100,747,1,3,5,3,17,93.66056922949615
648,8,99,99,815,1,8,7,2,93,3.9343540668509647
472,1,71,28,1339,0,9,10,2,53,12.21099140100268
63,11,32,48,107,1,6,1,1,8,45.21990282834353
139,28,18,135,1883,1,7,10,8,79,93.38750175279048
499,25,21,182,807,1,1,5,3,27,31.61561049767505
593,25,10,150,1368,0,5,10,3,46,50.723480868839246
392,18,67,135,868,1,5,2,6,50,4.15728590503921
675,23,10,67,444,1,10,6,8,71,14.834320096208886
419,30,43,157,456,1,4,1,9,3,98.66301229588468
289,10,57,70,1341,0,6,3,9,93,96.51186964360456
379,3,98,136,258,1,7,5,4,64,0.49399809344096157
773,7,10,114,175,0,9,4,5,44,95.18117854232389
490,28,25,176,1514,0,1,3,2,53,63.91199378155004
231,16,70,10,993,0,6,10,9,24,86.79182945200222
41,26,73,140,1368,0,7,5,8,60,45.47398556338591
28,16,72,101,1029,0,3,8,3,3,51.55960285792502
135,25,78,199,551,0,8,4,9,20,48.88465802569202
201,20,31,200,768,1,5,1,3,46,66.68642575461044
840,28,76,122,1139,0,9,7,9,15,13.96512547563129
780,17,85,162,1596,1,5,8,2,25,2.9973589872677953
930,2,35,65,90,1,9,3,10,94,30.79299415911909
33,1,25,170,142,0,10,6,9,78,70.46807627366466
48,16,60,175,806,1,4,2,8,71,20.185345212294838
503,30,95,126,909,1,9,7,9,17,67.34324333249174
407,12,66,143,147,1,5,8,5,84,96.99120461072704
574,5,38,67,193,1,10,6,2,100,9.39007157894184
728,5,87,53,1434,0,9,6,8,9,67.26021182251263
805,27,78,182,1363,1,3,5,6,38,44.375021930457116
99,23,56,169,794,0,4,8,8,48,86.81422543775054
684,9,71,182,1541,1,9,1,5,60,17.71497894473859
872,9,78,70,1885,1,10,10,10,63,69.26259522261645
726,3,85,56,993,0,6,4,2,86,83.81152896481102
987,19,25,158,78,1,2,4,6,2,94.46142194740233
547,16,99,89,555,1,7,3,5,88,68.32480282896458
961,16,99,127,1807,1,2,3,5,72,49.71747640084273
739,3,57,173,62,0,2,4,1,11,61.78472402012139
613,20,94,156,1483,1,1,1,2,64,86.89049844787182
943,24,48,29,214,0,3,2,8,77,57.060974663882966
462,22,42,194,135,1,6,9,3,81,3.038705969683686
643,24,32,155,1780,0,8,10,10,72,93.09486955069778
769,1,19,56,52,0,9,2,3,21,68.95267510315611
5,24,78,58,1785,1,7,5,8,18,67.65133857772466
218,20,43,23,1916,1,4,9,8,94,21.567515239771716
503,11,61,152,120,0,6,9,2,64,65.88854702326572
767,17,19,168,770,0,5,8,8,82,39.386440565415846
398,8,28,10,1696,1,8,1,1,95,65.12329770414921
871,4,67,126,1216,0,1,1,6,38,10.659303030799073
795,6,10,63,857,1,1,9,8,32,65.7845304603036
393,8,78,127,104,1,6,8,3,11,99.94137257706666
207,20,13,12,1407,1,10,10,8,45,4.821203886055603
15,30,25,153,1945,1,2,9,1,89,97.71741842213173
858,3,33,194,1553,0,5,7,9,33,40.690796072287064
554,16,89,21,909,1,1,3,9,41,87.07534503372591
892,30,11,83,369,0,7,3,5,8,78.23854840582734
461,25,41,25,909,1,1,2,10,11,56.70162609866678
691,3,100,111,1729,0,4,5,4,86,73.84492092513266
575,25,93,161,290,1,9,3,6,51,87.8515561301348
864,29,33,165,1228,0,1,6,7,88,40.4140321651033
743,18,21,126,1897,0,4,2,5,41,32.70331615632387
241,14,59,17,1228,1,6,3,10,17,66.75933855635847
564,18,44,131,676,1,6,5,9,76,80.78459419412586
96,2,42,101,102,1,8,1,3,46,76.22851347766158
